Inflation,GDP_real,GDP_nominal,DispIncome_real,DispIncome_nominal,Unemployment,Treasury3Mon,Treasury5Yr,Treasury10Yr,BBBCorpYd,Mortgage,Prime,DowJonesIndx,HousePriceIndx,ComlRealEstIndx,VIX,GDP_real_eu,Inflation_real_eu,Exchange_eu,GDP_real_apac,Inflation_real_apac,Exchange_apac,GDP_real_jp,Inflation_real_jp,Exchange_jp,GDP_real_uk,Inflation_real_uk,Exchange_uk
1.6,4,6.1,0.9,2.6,6.9,0.1,1.4,2.8,4.8,4.3,3.3,19413,158,212,20.3,1,0.3,1.378,6.7,4,85.8,0,2.6,105.3,2.1,1.7,1.657
2.6,-0.9,0.7,4.3,6.5,6.7,0,1.6,2.8,4.6,4.4,3.3,19711,160,211,21.4,1.7,0.8,1.378,6,1.4,86.8,3.3,1.1,103,3.5,1.8,1.668
1.9,4.6,7,5.3,7.1,6.2,0,1.7,2.7,4.3,4.2,3.3,20569,161,220,17,0.5,0,1.369,7.4,2.6,86.6,-6.6,8.2,101.3,3.5,1.4,1.711
1,5.2,7.1,4.2,5.5,6.1,0,1.7,2.5,4.2,4.1,3.3,20459,163,223,17,1.7,0.3,1.263,6.7,2.3,86.9,-0.2,1.6,109.7,3.1,0.8,1.622
-0.7,2,2.6,5.9,5.7,5.7,0,1.6,2.3,4.2,4,3.3,21425,166,234,26.3,2,-0.4,1.21,5.7,1.2,88.1,2.8,-0.5,119.9,3.1,-0.4,1.558
-2.5,3.2,3.2,4.3,2.6,5.6,0,1.5,2,4,3.7,3.3,21708,168,249,22.4,3,-0.9,1.074,6.1,0.8,87.9,5.1,0.4,120,1.4,-1.3,1.485
2.4,2.7,5,3.8,5.6,5.4,0,1.5,2.2,4.2,3.8,3.3,21631,170,251,18.9,1.3,1.9,1.115,6.9,2.8,88.3,0.5,0.5,122.1,2.3,0.8,1.573
1.5,1.6,3,1.8,3.2,5.1,0,1.6,2.3,4.5,4,3.3,19959,172,257,40.7,1.7,-0.2,1.116,6.5,2.7,90.9,0.3,0.1,119.8,1.7,0.8,1.512
0.4,0.5,1.3,2.9,3.1,5,0.1,1.6,2.2,4.6,3.9,3.3,21101,175,254,24.4,1.9,-0.1,1.086,5.4,1.5,92.2,-0.9,-0.4,120.3,2.9,0,1.475
0.1,0.6,0.8,0.2,0.9,4.9,0.3,1.4,2,4.6,3.7,3.5,21179,177,245,28.1,2,-1.3,1.139,6.6,2.8,91.7,2.2,0,112.4,0.8,-0.1,1.438
2.3,2.2,4.7,1.9,4,4.9,0.3,1.3,1.8,4.1,3.6,3.5,21621,179,248,25.8,1.4,1.2,1.103,6.6,2.8,94,1.6,-1.1,102.8,1.9,0.7,1.324
1.8,2.8,4.2,0.7,2.5,4.9,0.3,1.2,1.6,3.7,3.4,3.5,22469,182,266,18.1,1.6,1.2,1.124,6.1,1.2,93.6,0.9,-0.5,101.2,2.2,2.2,1.302
3,1.8,3.8,-1.8,0.1,4.7,0.4,1.7,2.2,4.1,3.8,3.5,23277,184,269,22.5,2.7,1.8,1.055,5.7,2.3,97.5,1.4,3,116.8,3,2,1.234
3.1,1.2,3.3,2.9,5.2,4.7,0.6,2,2.5,4.2,4.2,3.8,24508,187,262,13.1,2.5,2.8,1.07,6.7,0.6,95.2,1.5,-0.1,111.4,1.2,3.7,1.254
-0.3,3.1,4.1,2.7,3,4.3,0.9,1.8,2.3,4,4,4,25125,190,272,16,2.9,0.2,1.141,6,2,94.5,2.9,-0.8,112.4,1.2,3,1.3
2,3.2,5.3,0.5,2.1,4.3,1,1.8,2.3,3.9,3.9,4.3,26149,193,275,16,2.9,1,1.181,6.6,2.4,93.5,2.5,0.4,112.6,1.6,2.4,1.34
3.7,2.7,5,1.9,5.6,4.1,1.2,2.1,2.4,4,3.9,4.3,27673,194,279,13.1,2.3,1.7,1.202,5.9,2.6,91,1.8,0.9,112.7,1.4,2.9,1.353
2.1,2.5,4.6,4,6.1,4,1.4,2.2,2.6,4.1,4.1,4.6,28019,196,282,15.3,2.1,1.5,1.201,6,2.5,91.5,1.5,0.9,112.7,1.4,2.6,1.35
1.9,2.8,4.8,2.9,4.8,4,1.7,2.4,2.7,4.3,4.3,4.8,28382,197,286,17.5,2.1,1.5,1.199,6,2.5,92,1.4,1,112.8,1.4,2.5,1.347
2.1,2.6,4.7,2.9,4.9,3.9,1.9,2.5,2.8,4.4,4.4,5,28747,198,289,18.7,2,1.6,1.198,6,2.5,92.5,1.2,1,112.8,1.4,2.4,1.344
2.1,2.5,4.6,2.8,4.8,3.8,2.1,2.7,2.9,4.5,4.5,5.2,29110,199,293,20,2,1.6,1.197,5.9,2.6,93,1.1,1.1,112.8,1.4,2.3,1.341
2.2,2.3,4.5,2.9,5,3.8,2.2,2.8,3.1,4.6,4.7,5.3,29472,201,297,20.9,1.9,1.6,1.202,5.8,2.7,93.2,1.1,1.2,112.6,1.4,2.2,1.344
2.2,2.3,4.4,2.5,4.5,3.8,2.4,2.8,3.1,4.7,4.8,5.5,29830,202,300,21.5,1.9,1.6,1.208,5.8,2.8,93.5,1,1.2,112.3,1.4,2.1,1.347
2.2,2.1,4.3,2.4,4.4,3.8,2.5,2.9,3.2,4.8,4.9,5.6,30187,203,304,22.1,1.8,1.7,1.213,5.7,2.9,93.7,1,1.3,112,1.4,2.1,1.351
2.4,2,4.2,2.3,4.4,3.7,2.6,2.9,3.3,4.9,4.9,5.7,30538,204,308,22.1,1.8,1.7,1.219,5.8,2.8,94,0.9,1.4,111.8,1.4,2,1.354
2.3,2.1,4.2,2.2,4.3,3.8,2.7,3,3.5,5.1,5.1,5.7,30892,206,310,23.5,1.8,1.8,1.219,5.8,2.8,94,0.8,1.4,111.8,1.5,2,1.354
2.3,2.1,4.2,2.3,4.4,3.9,2.7,3,3.5,5.1,5.2,5.7,31255,207,313,23.6,1.7,1.8,1.219,5.9,2.7,94,0.8,1.5,111.8,1.5,1.9,1.354
2.3,2.1,4.2,2.3,4.4,4,2.7,3.1,3.5,5.2,5.2,5.7,31623,209,315,23.8,1.7,1.9,1.219,5.9,2.7,94,0.8,1.5,111.8,1.5,1.9,1.354
2.3,2.1,4.2,2.3,4.4,4,2.7,3.1,3.6,5.2,5.2,5.8,31995,211,317,23.8,1.7,1.9,1.219,5.8,2.7,94,0.8,1.6,111.8,1.5,1.9,1.354
2.3,2.1,4.2,2.3,4.4,4.1,2.7,3.1,3.6,5.2,5.3,5.8,32371,212,320,23.9,1.6,1.9,1.219,5.7,2.8,94,0.8,1.6,111.8,1.6,1.9,1.354
1.7,-1.3,1.2,2.4,4.2,4.5,0.6,0,0.7,3.8,3.2,3.8,24589,191,272,28,-2.6,0.8,1.133,2.1,1.3,97,-1.7,-1.3,110.7,-2.8,1.3,1.319
1.3,-3.5,-1.4,-1.2,0.2,5.3,0.1,0.1,0.8,4.2,3.4,3.3,22884,185,262,33.1,-3.4,0.3,1.113,2.5,0.5,99.8,-4,-1.9,109.6,-3.9,0.6,1.304
1.6,-2.4,-0.4,-1.8,-0.2,5.8,0.1,0.2,0.9,4.4,3.6,3.3,21104,180,254,33.7,-2.6,-0.1,1.115,3.7,0.1,101.1,-4.9,-2.2,109.6,-3.4,0.3,1.296
1.7,-1.3,0.6,-1.1,0.6,6.3,0.1,0.3,1,4.6,3.7,3.3,20858,177,247,32.8,-1.9,-0.4,1.118,4.4,-0.1,102.1,-5.1,-2.4,109.1,-2.8,0.2,1.287
1.8,-0.7,1.3,-0.3,1.5,6.6,0.1,0.4,1.1,4.8,3.9,3.2,19718,174,242,31.7,-0.9,-0.6,1.146,5.4,0.1,101.4,-4,-1.9,108.6,-1.6,0.4,1.295
1.9,0.4,2.3,-0.1,1.6,6.9,0.1,0.5,1.2,4.8,3.9,3.2,19998,172,239,28.8,-0.1,-0.2,1.155,5.9,0.3,100.8,-2.7,-1.5,108.1,-0.4,0.6,1.301
1.9,1,2.9,0.5,2.2,7,0.1,0.6,1.3,4.7,3.9,3.2,20580,171,237,25.7,0.7,0.1,1.163,6.1,0.6,100.2,-1.6,-1.1,107.7,0.5,0.8,1.307
2.1,2.5,4.3,1,2.9,7,0.1,0.6,1.4,4.6,3.9,3.2,21350,171,237,23.1,1.3,0.4,1.171,6.1,0.8,99.6,-0.8,-0.7,107.3,1.1,1,1.312
2.1,2.8,4.5,2.3,4.2,6.9,0.1,0.7,1.6,4.6,4,3.2,22145,171,237,21.3,1.7,0.7,1.174,6.2,0.9,98.9,-0.1,-0.3,107.3,1.7,1.1,1.313
2,3,4.7,2.4,4.2,6.8,0.1,0.7,1.7,4.4,4,3.2,23213,172,238,20.1,2,0.9,1.178,6.2,1.1,98.2,0.4,0,107.4,2,1.2,1.313
2,3.2,4.8,2.6,4.4,6.6,0.1,0.8,1.8,4.3,4,3.2,24259,172,239,19.3,2.1,1.1,1.181,6.3,1.3,97.7,0.8,0.3,107.5,2.2,1.3,1.314
2,3.3,4.9,2.8,4.5,6.5,0.1,0.9,1.8,4.2,3.9,3.2,25405,173,240,18.7,2.1,1.2,1.185,6.3,1.5,97.2,1,0.5,107.7,2.3,1.4,1.314
1.9,3.3,4.8,2.9,4.6,6.3,0.1,0.9,1.9,4,3.9,3.2,26625,174,242,18.3,2,1.3,1.188,6.3,1.7,96.9,1.2,0.7,107.8,2.3,1.5,1.315
