track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_.,valence_.,energy_.,acousticness_.,instrumentalness_.,liveness_.,speechiness_.,artist1,artist2,artist3,streams_m,in_deezer_playlists_m,in_shazam_charts_m,outlier,key_m,mode_m,artist4,artist5
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8,Taylor Swift,"","",30.343206,3,1,0,B,Minor,Taylor Swift,1
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,15,15,6,0,0,106,F,Major,67,24,78,15,0,30,4,Taylor Swift,"","",68.616963,6,0,0,F,Major,Taylor Swift,1
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,116,69,107,3,675,107,D,Major,78,39,53,30,0,11,6,Ed Sheeran,"","",195.576623,107,675,0,D,Major,Ed Sheeran,6
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772,23,21,31,0,0,90,G#,Major,62,7,62,6,0,58,6,Taylor Swift, Ice Spice,"",46.142772,31,0,0,G#,Major,Taylor Swift,1
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538,1,0,9,0,0,110,F#,Minor,66,32,40,81,0,11,3,Lana Del Rey, Taylor Swift,"",60.350538,9,0,0,F#,Minor,Taylor Swift,1
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,58,70,43,0,182,142,A#,Minor,82,54,44,6,0,33,7,Drake,"","",175.097833,43,182,0,A#,Minor,Drake,4
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8,Taylor Swift,"","",488.386797,38,1,0,A#,Major,Taylor Swift,1
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053,34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5,Bad Bunny,"","",1047.480053,43,2,0,G,Minor,Bad Bunny,3
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020,84,84,42,0,23,153,B,Minor,56,42,52,5,0,36,24,Drake, 21 Savage,"",573.63302,42,23,0,B,Minor,Drake,4
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489,37,3,27,0,50,176,F#,Minor,50,44,76,10,0,32,5,Ed Sheeran,"","",39.893489,27,50,0,F#,Minor,Ed Sheeran,6
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277,36,65,28,0,0,119,A,Minor,60,10,57,1,0,50,3,The Weeknd, Future,"",96.180277,28,0,0,A,Minor,The Weeknd,2
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616,26,6,19,0,5,96,D,Major,72,40,47,71,0,13,4,Taylor Swift,"","",185.240616,19,5,0,D,Major,Taylor Swift,1
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087,234,71,543,18,"",141,D,Major,79,82,86,28,0,4,9,Ed Sheeran,"","",1302.184087,543,,0,D,Major,Ed Sheeran,6
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769,30,70,142,0,27,114,A#,Major,32,17,74,14,0,17,3,The Weeknd, Gesaffelstein,"",705.469769,142,27,0,A#,Major,The Weeknd,2
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467,151,107,801,1,105,134,C#,Major,45,17,60,21,0,33,4,The Weeknd,"","",1449.799467,801,105,0,C#,Major,The Weeknd,2
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613,166,42,199,16,58,115,A#,Major,71,90,73,30,0,11,5,Harry Styles,"","",743.693613,199,58,0,A#,Major,Harry Styles,5
